education,urban,gender,engnat,age,hand,religion,orientation,race,voted,married,familysize,major,country,depression_total_score,anxiety_total_score,stress_total_score
1,2,2,1,15,1,7,1,60,2,1,1,,US,37,36,38
3,3,1,2,23,1,10,5,10,2,1,2,Aviation,MY,29,23,25
3,3,2,2,29,1,1,5,70,1,1,2,design,AR,22,18,20
2,2,2,1,20,1,7,1,10,2,1,2,,US,20,20,23
4,2,2,2,22,1,10,1,70,1,2,3,Management,MY,31,24,31
4,3,2,2,24,1,10,1,10,1,1,3,Civil engineering ,MY,17,16,18
3,3,1,2,24,1,10,4,10,2,1,3,Graphic design,MY,34,36,39
2,1,2,2,15,1,10,5,10,2,1,5,,MY,39,45,45
4,1,1,2,35,1,6,2,60,1,1,4,Medicine,DE,27,18,26
2,3,2,2,17,1,1,1,60,2,1,3,,MX,44,39,41
3,3,1,1,22,1,1,1,10,1,1,3,Pharmacy,MY,43,39,44
3,3,2,2,20,1,10,1,10,2,1,5,dentistry,MY,23,15,24
3,1,2,2,22,1,10,1,10,1,1,6,Office system ,MY,48,44,52
1,2,2,1,16,1,4,1,60,2,1,1,,US,41,40,42
3,2,2,2,20,1,10,1,10,2,1,5,Psychology,MY,38,36,40
3,3,1,2,23,1,10,5,10,1,1,0,Economics,MY,33,34,34
3,3,2,2,18,2,10,1,10,2,1,3,Pharmacy ,MY,31,27,36
3,2,2,2,20,1,10,2,10,2,1,4,business ,MY,27,24,31
4,1,2,2,23,1,10,1,10,2,1,4,psychology,MY,28,18,17
1,3,2,1,14,1,1,2,60,2,1,1,,CA,47,42,46
3,1,1,2,21,1,10,1,10,2,1,4,Accounting,MY,20,22,22
3,3,1,1,21,0,10,4,10,2,1,4,Arts,MY,31,29,32
4,3,3,2,24,1,10,5,10,1,1,6,Mechanical engineering ,MY,40,39,41
1,3,2,2,14,1,4,1,10,2,1,4,,PH,55,47,50
3,3,2,2,22,1,10,5,10,2,1,5,finance,MY,40,42,41
2,1,2,1,27,1,4,2,60,2,1,5,,US,48,44,45
2,3,1,2,17,1,3,1,60,2,1,1,,RO,25,24,28
3,2,2,2,22,1,10,1,70,2,1,1,Acca,MY,24,15,22
3,2,2,2,20,1,10,5,10,2,1,4,Architecture surveying planning,MY,34,31,38
4,3,2,2,23,1,1,1,10,2,1,0,Design,IN,24,21,26
1,2,1,1,18,2,1,1,60,2,1,5,,GB,47,40,47
3,1,2,2,24,1,0,3,10,2,1,4,Computer Engineering,MY,48,44,47
3,3,2,2,19,1,10,4,10,1,1,2,early childhood education,ID,18,26,21
3,1,2,2,23,1,10,5,70,2,2,1,engineering,MY,40,39,39
2,1,1,1,17,1,2,3,60,2,1,2,,US,53,50,52
3,1,2,1,20,1,12,5,10,2,1,2,Mechanical engineering,MY,54,51,46
3,3,2,2,20,1,10,3,10,2,1,5,Arabic,MY,38,29,33
3,2,2,2,17,1,10,5,10,2,1,4,psychology,MY,33,31,29
3,2,2,2,27,1,10,1,10,1,1,3,Manufacturing Engineering’,MY,32,29,34
3,3,2,2,18,1,10,1,10,2,1,3,Science ,MY,14,17,16
3,3,1,2,22,1,1,1,60,1,1,1,Business IT,BG,25,17,18
3,2,1,1,21,1,1,2,60,2,1,2,mechanical engineering,AU,24,22,27
3,3,2,2,25,1,10,1,10,1,1,4,Art,NONE,37,38,33
3,1,2,1,23,1,10,1,10,1,1,2,Mechanical engineering,MY,17,15,14
3,3,2,2,20,1,10,1,10,2,1,2,Psychology,ID,38,31,35
4,3,1,2,21,1,8,2,70,2,1,1,psychology,IN,31,32,37
2,2,2,2,23,1,10,1,10,2,1,6,,MY,49,49,53
3,3,2,2,27,1,10,1,10,1,1,3,Business Administration,ID,28,38,28
2,3,2,1,34,1,2,1,60,1,2,5,,CA,47,36,45
2,3,1,2,28,1,1,1,60,1,1,2,,CH,37,37,31
3,1,2,1,18,1,12,2,60,2,1,4,Arts Administration,US,38,37,37
3,3,1,2,39,1,10,1,10,1,2,5,Transport,MY,32,32,30
1,3,2,1,14,1,2,2,10,2,1,1,,US,53,54,52
2,3,2,1,16,1,12,1,70,2,1,2,,US,14,19,18
1,3,2,2,14,1,4,1,60,2,1,2,,PL,50,47,49
3,3,2,2,22,1,10,1,10,2,1,1,Information System,MY,40,36,35
1,3,2,2,17,1,10,5,10,2,1,8,,MY,36,25,32
2,3,2,2,19,1,3,2,10,2,2,2,,MY,51,47,52
1,2,2,1,17,1,2,1,60,2,1,2,,MY,40,32,41
1,3,2,2,17,1,10,1,10,2,1,4,,MY,46,43,43
3,3,2,2,25,1,10,5,20,2,1,0,Artificial intelligence ,MY,34,35,43
2,3,2,2,19,1,10,5,10,2,1,6,,MY,33,38,32
1,2,2,1,15,1,1,2,60,2,1,2,,GB,40,36,39
3,3,2,1,21,1,10,1,10,2,1,5,physics,MY,38,33,40
4,1,1,2,32,1,10,1,10,1,2,3,Biological Sciences,MY,30,23,25
3,2,2,2,27,1,6,1,10,1,1,5,Biomedical science,NZ,32,33,30
3,1,2,1,17,1,10,1,70,2,1,4,Administration,MY,52,47,51
3,2,1,2,25,1,10,1,10,1,1,3,,MY,28,35,33
3,3,2,2,19,1,1,1,10,2,1,2,Law,MY,24,20,25
3,2,2,1,18,1,2,2,60,2,1,3,musical theatre,US,15,15,16
3,1,2,2,21,1,10,1,70,2,1,7,Applied science,MY,17,17,17
3,1,3,1,99,3,12,4,20,2,1,133,None,US,56,56,56
2,3,2,1,19,1,4,2,10,2,1,3,,MY,43,40,46
2,2,1,2,20,1,10,2,70,2,1,4,,MY,55,52,51
2,3,2,1,17,1,4,2,70,2,1,3,,US,52,47,52
3,3,2,2,14,2,10,4,10,2,1,0,psychology,MY,50,54,46
3,3,2,2,20,1,10,1,10,2,1,2,ComputerGraphic Design,MY,41,43,43
3,1,2,2,20,1,4,1,10,2,1,4,Business,MY,32,29,18
3,2,1,2,23,2,10,5,10,2,1,4,Finance ,MY,38,41,46
3,3,1,1,22,1,1,2,60,1,1,1,Cyber Security,US,49,39,54
3,1,2,1,28,1,1,1,60,1,2,4,Political communication ,US,41,30,39
2,1,1,1,17,1,5,1,60,2,1,4,,GB,17,17,21
1,3,1,2,16,1,4,1,70,2,1,3,,US,24,18,25
2,1,2,1,35,1,1,1,70,1,1,4,,US,37,35,30
1,3,2,1,14,1,4,2,70,2,1,3,,US,36,36,42
3,3,2,2,22,1,10,5,10,2,1,14,Mathematics ,MY,26,25,28
4,2,1,1,57,1,4,2,60,1,1,2,law,US,28,27,32
3,2,2,1,36,1,1,1,60,2,2,6,History,GB,32,33,28
3,3,2,2,17,1,10,3,10,2,1,8,accounting,MY,24,24,27
2,3,2,2,39,1,10,1,10,2,2,5,,MY,50,48,46
3,2,1,1,21,1,8,1,10,1,1,3,Law and psychology,ZA,51,52,52
3,3,2,2,26,1,4,1,10,2,1,3,ENGLISH,MY,19,19,18
3,2,2,2,35,1,10,1,10,1,2,5,Accounting,MY,51,48,48
3,3,2,2,20,1,10,2,70,2,1,4,Quantity surveyor,MY,54,50,50
3,3,2,2,21,1,10,1,10,1,1,3,communication,ID,26,28,28
3,1,2,1,17,1,10,5,10,2,1,9,Medic,MY,25,26,28
3,1,1,2,20,2,7,1,10,2,1,0,Aircraft maintenance,PH,21,17,23
3,3,2,2,20,1,10,2,10,2,1,2,Administration,MY,25,25,22
2,3,2,2,16,1,10,1,10,2,1,2,,MY,37,39,44
3,3,1,2,23,1,10,5,10,2,1,8,"pychology , art  , english",MY,56,56,56
4,4,2,2,29,1,10,5,10,1,1,4,Sport science ,MY,51,46,45
4,2,1,2,24,1,10,1,10,1,1,6,Engineering ,MY,28,29,24
3,1,1,2,20,1,4,1,10,2,1,3,Mechanical engineering,MY,20,18,16
3,1,1,1,21,1,12,1,50,2,1,2,pre-med,US,21,21,22
3,3,2,1,21,1,10,4,10,2,1,1,fashion,MY,27,30,29
2,1,2,1,13,1,1,1,50,2,1,0,,CA,22,23,25
3,3,1,2,20,1,10,1,10,2,1,2,Engineering,MY,43,38,39
2,2,2,1,40,1,6,2,60,2,1,2,,US,52,49,53
3,3,2,1,20,1,10,3,70,2,1,5,Food technology,MY,26,20,22
4,1,2,2,66,1,4,1,60,1,2,3,Medicine,US,25,19,20
2,2,2,1,27,1,1,3,60,1,1,6,,US,29,30,36
3,1,2,1,47,1,12,2,60,2,2,2,liberal arts,US,46,40,46
2,1,2,2,16,1,10,5,70,2,1,2,,MY,50,50,51
1,3,1,1,16,2,1,1,60,2,1,3,,US,37,35,43
3,2,2,2,17,1,10,1,10,2,1,1,Psychology,MY,32,22,26
2,2,2,2,18,2,10,1,10,2,1,5,,MY,41,39,41
3,2,1,2,18,1,10,1,10,2,1,2,Art & Design,MY,43,44,45
3,1,2,1,40,1,7,1,70,2,2,2,Medical issues ,US,19,21,18
3,3,2,2,21,2,10,5,10,2,1,4,music,MY,33,38,42
3,3,2,1,23,1,10,5,10,1,1,5,Business,MY,36,39,31
3,1,1,2,28,1,10,5,10,1,2,3,CULINARY ,MY,26,28,30
1,2,2,1,16,1,2,2,60,2,1,2,,US,37,37,39
3,2,1,2,22,1,10,4,10,1,1,11,Avionics ,MY,23,25,21
2,3,2,1,17,2,2,2,60,2,1,1,,GB,26,28,26
4,1,1,1,46,1,1,1,70,1,3,2,TECHNOLOGY,CA,24,21,24
3,3,2,2,20,1,10,5,70,2,1,5,Business,MY,35,33,33
3,3,2,1,22,1,7,3,70,2,1,1,Video arts and technology ,US,40,39,40
1,2,2,1,13,1,12,2,60,2,1,4,,US,35,30,36
3,1,2,2,23,1,4,3,10,1,1,1,Electronics Engineering,PH,40,32,34
1,2,1,1,16,1,2,2,60,2,1,2,,US,22,21,20
1,1,3,1,13,3,4,2,70,2,1,1,,US,55,53,55
2,2,2,2,22,1,10,5,10,1,3,3,,MY,25,25,25
3,3,2,1,19,3,4,2,60,1,1,3,English,US,40,39,40
3,3,2,1,19,3,5,1,60,2,1,6,Exercise physiology,US,43,34,39
4,2,2,1,23,1,10,1,10,2,1,2,Accounting,ID,25,33,26
3,1,2,2,24,1,10,1,10,1,1,2,business management,MY,38,41,42
1,2,1,2,15,1,10,4,10,2,1,3,,ID,33,27,30
3,1,2,2,25,1,10,1,10,1,1,4,Psychology ,MY,24,24,28
3,3,1,1,27,1,2,1,60,2,1,2,Psychology,CA,34,35,31
3,3,2,2,21,1,10,5,10,2,1,7,Technology ,MY,14,14,15
2,2,2,1,21,1,2,1,70,1,1,3,,NZ,14,15,16
3,3,2,1,22,1,10,1,70,1,1,5,Communication engineering,MY,30,28,28
3,1,2,2,16,1,10,5,10,2,1,2,Agriculture ,MY,29,31,31
1,3,2,2,15,1,10,1,10,2,1,4,,US,48,48,49
2,3,2,1,23,1,12,2,60,2,3,1,,US,47,44,44
3,2,2,2,28,1,10,2,10,2,1,7,Psychology,MY,36,28,29
3,3,2,2,24,1,10,1,10,1,1,4,Food science,MY,15,16,14
3,3,2,2,22,1,2,1,10,1,1,1,Civil engineering,CA,27,29,36
1,3,2,2,13,1,2,2,60,2,1,1,,DE,52,49,49
2,3,2,1,34,1,7,1,60,2,2,3,,US,36,36,38
4,1,2,2,39,1,10,1,10,1,1,2,Biology,MY,27,22,19
3,3,2,1,23,1,10,5,10,2,1,3,Computer ,MY,33,18,20
3,3,1,2,18,2,10,1,10,2,1,4,Science computer,MY,46,47,49
2,1,2,2,29,1,10,1,70,2,3,4,,MY,56,54,56
3,2,2,2,30,1,10,5,10,1,1,4,IT,MY,37,34,35
3,1,2,2,27,1,10,1,70,2,1,5,Education,MY,33,29,37
2,3,2,1,17,1,4,1,70,2,1,2,,PH,51,50,54
3,2,2,2,23,1,10,5,10,1,1,2,,MY,17,15,14
3,3,2,2,24,1,10,1,10,1,1,4,Computer science,MY,32,26,27
2,2,3,1,15,1,1,2,30,2,1,2,,US,32,31,31
2,1,2,2,16,1,10,5,10,2,1,0,,MY,34,32,36
3,1,2,2,22,1,10,1,10,2,1,5,Accountancy,MY,29,20,27
2,3,2,2,23,1,10,5,10,1,2,5,,MY,16,20,23
3,2,1,1,24,1,1,1,10,1,1,2,Science,KR,17,16,18
3,3,3,1,19,1,2,5,10,2,1,3,Science ,MY,51,48,50
3,3,2,2,20,1,2,2,60,2,1,2,Life science,FR,34,33,31
3,3,2,2,19,1,10,5,10,2,1,4,Tak,MY,43,37,40
3,2,1,2,23,1,10,2,10,1,1,11,Culinary,MY,38,30,30
4,3,2,2,22,1,10,1,10,1,1,4,Medical science ,MY,31,20,26
3,3,1,2,28,1,1,1,70,2,1,3,Graphic Design,AR,23,28,26
3,3,2,2,18,1,10,1,10,2,1,3,Mathematics,MY,19,17,21
3,3,2,2,29,1,10,1,10,1,1,4,Mechanical Engineering,MY,20,19,19
3,1,1,2,45,1,10,3,10,1,1,8,Chemistry,MY,24,24,27
3,2,2,2,20,1,10,5,70,2,1,0,Physical Therapy,MY,35,33,37
3,3,2,2,22,1,10,1,10,2,1,6,Business ,MY,37,32,33
3,3,2,1,22,1,2,1,60,2,1,3,Psychology,US,39,40,41
3,1,2,2,19,1,2,2,70,2,1,4,English Teaching,MX,38,38,40
4,3,2,2,22,1,6,1,10,1,1,2,Informatics Engineering,ID,18,21,21
1,2,2,1,13,1,1,1,60,2,1,3,,US,29,26,31
2,3,2,2,20,2,10,1,60,2,1,1,,BA,33,35,32
1,2,2,1,15,2,4,2,60,2,1,4,,US,35,32,39
4,3,2,2,36,1,8,5,10,2,1,4,Education ,MY,53,54,52
3,3,2,2,25,1,10,1,10,2,1,5,Tourism ,MY,28,21,23
3,3,2,2,18,1,10,3,10,2,1,3,psychology,MY,51,49,48
2,1,2,2,18,1,1,1,60,2,1,2,,HR,36,30,36
3,1,1,1,21,1,10,5,10,2,1,0,culinary,MY,47,40,49
2,1,2,1,53,1,0,1,60,2,3,2,,US,39,34,36
2,2,1,2,42,1,1,1,60,1,1,1,,NL,30,29,34
1,1,2,1,13,1,12,5,60,2,1,3,,US,46,43,46
3,3,2,1,22,1,10,2,10,2,1,5,Pharmacy ,MY,52,48,56
1,2,2,1,13,1,1,2,70,2,1,2,,NONE,50,50,53
2,3,1,2,16,1,2,4,10,2,1,4,,FR,20,25,27
1,2,2,1,14,1,0,5,30,2,1,2,,US,25,25,31
3,3,2,2,17,1,10,1,10,2,1,3,Medicine,MY,43,32,42
3,2,2,2,28,1,10,1,10,1,2,5,professional communication skill,MY,22,18,18
3,2,2,2,19,1,10,5,10,2,1,2,Masscomm,MY,21,21,20
3,2,2,2,21,2,10,1,10,2,1,4,Public administration,MY,42,30,37
3,3,2,2,20,2,10,1,10,2,1,7,Dental Surgery Assistant ,MY,30,26,24
1,1,1,1,13,1,1,1,60,2,1,3,,US,30,32,30
2,3,1,1,17,1,6,1,60,2,1,0,,GB,45,48,43
3,1,2,1,25,1,4,1,60,1,1,5,Interior Design,US,32,25,33
3,1,2,2,21,1,10,5,10,2,1,4,creative,MY,44,43,41
3,3,2,2,19,1,10,1,10,2,1,7,English,MY,39,39,37
3,3,2,2,35,1,10,1,10,1,1,3,Management,MY,22,21,21
2,3,2,2,19,1,12,5,70,2,1,1,,US,17,15,14
3,3,2,1,16,1,10,5,10,2,1,4,Education,MY,46,43,52
3,3,2,2,24,1,10,1,10,2,2,8,management,MY,33,38,33
3,3,2,2,19,1,10,1,10,2,1,4,Laws,MY,47,42,49
3,2,2,1,18,1,4,5,60,2,1,2,Exercise Science,US,25,18,22
3,3,2,1,20,1,4,1,10,2,1,2,Business ,AU,21,17,19
3,3,2,2,27,1,10,4,10,1,2,2,psychology,MY,23,28,25
4,3,1,2,47,1,8,1,10,1,2,4,Management,IN,20,18,21
2,1,2,1,24,1,4,1,60,2,1,4,,US,32,27,23
3,3,1,2,24,1,10,1,10,1,2,4,Engineering,MY,32,27,31
4,2,2,1,56,1,2,1,60,2,2,3,Biology ,US,14,15,14
2,3,2,1,15,1,3,1,10,2,1,2,,MY,35,35,34
3,3,1,2,21,1,10,1,10,2,1,5,Actuarial science ,MY,29,26,30
3,3,1,2,23,1,3,3,10,2,1,2,Nutrition-dietetics field,MY,35,34,34
2,3,1,1,18,2,2,1,60,2,1,3,,GB,30,26,29
3,2,2,2,19,1,10,1,10,2,1,4,Biomedical science,MY,21,19,21
3,1,1,2,22,1,10,5,10,0,1,1,Psychology,MY,29,25,29
3,2,2,2,34,1,10,1,10,1,2,8,Engineering,NONE,14,14,15
3,3,2,2,19,1,10,1,10,2,1,3,Accountancy,MY,52,46,51
3,2,1,2,23,1,10,1,10,1,1,5,Medical science,MY,26,22,29
3,3,2,2,21,1,10,1,10,2,1,5,Nursing,MY,22,21,25
3,3,2,2,23,1,10,1,10,2,1,4,Marine science,MY,40,38,44
3,1,2,2,23,0,10,1,10,2,1,8,art,MY,49,43,43
1,3,2,1,14,1,2,1,60,2,1,2,,GB,34,37,38
3,1,2,2,19,1,10,1,10,2,1,6,chemistry,MY,38,37,41
3,3,2,2,20,1,10,1,10,2,1,4,Professional accounting,MY,35,34,39
3,2,1,2,22,1,10,1,70,1,1,4,Business,MY,38,40,40
3,2,2,2,21,1,10,1,10,2,1,11,Financial,MY,19,22,24
3,1,2,2,20,1,10,1,10,2,1,4,Engineering,MY,38,40,39
2,3,2,1,38,1,10,1,10,1,3,8,,MY,54,55,52
3,3,2,2,22,1,10,1,10,1,1,8,Business administration ,MY,39,39,40
3,2,1,2,23,1,10,1,10,2,1,5,Mechanical engineering ,MY,40,36,34
3,2,2,2,22,1,10,1,10,2,1,3,International business,MY,31,30,23
3,3,2,2,22,2,10,5,10,2,1,7,Education,MY,46,50,45
3,1,2,2,21,1,10,5,10,2,1,3,Mathematic,MY,43,43,40
3,1,2,1,21,1,2,1,60,2,1,0,media studies,US,37,34,44
3,2,1,2,22,2,4,1,10,1,1,3,Mechanical Engineering,MY,36,34,41
3,1,2,2,19,1,10,1,10,2,1,4,Health,MY,25,24,27
3,3,2,1,23,1,7,1,60,1,1,3,ethnic studies,US,21,17,21
2,2,2,1,16,1,7,1,60,2,1,5,,US,34,25,32
3,1,2,2,19,1,10,1,10,2,1,5,dental sugery assistance,MY,32,34,33
4,1,2,1,25,1,10,2,10,1,1,0,Commerce,NONE,40,38,37
3,3,2,2,23,1,10,1,10,2,1,3,Medicine,EG,21,17,20
3,2,1,2,22,1,10,1,10,2,1,1,Language,MY,44,47,48
3,3,2,2,19,1,10,1,10,2,1,7,Chemical engineering ,MY,21,20,18
4,1,2,2,28,2,10,1,10,1,2,9,HealthAdministration,MY,20,19,16
3,1,1,2,23,1,10,1,10,2,1,6,Aircraft Engineering,MY,42,39,45
3,1,1,2,26,1,10,1,10,1,1,2,Psychology,MY,18,20,26
3,2,2,2,23,1,10,1,10,1,1,4,Industrial Mathematics,MY,35,35,37
2,2,2,1,16,1,1,1,10,2,1,2,,US,26,23,33
2,2,2,1,18,2,2,4,60,2,1,3,,US,27,23,33
3,1,2,2,20,1,10,1,10,2,1,2,,MY,32,25,29
3,3,2,1,24,1,1,1,10,2,1,4,Music,SG,39,37,41
3,1,2,2,19,1,10,5,10,2,1,6,Office management,MY,33,51,44
3,3,2,2,31,1,8,1,10,1,3,3,Law,MY,54,47,47
3,3,2,2,22,1,10,1,10,2,1,6,business,MY,34,29,39
2,3,1,1,57,1,12,1,60,1,2,9,,US,36,27,34
3,2,1,2,23,1,10,1,10,1,1,5,Computer Science,MY,27,34,31
3,2,2,1,18,1,1,4,60,1,1,2,Media Arts ,AU,39,34,38
3,3,2,2,21,1,10,1,10,2,1,3,Accounting ,MY,43,47,48
1,2,2,1,15,1,4,1,50,2,1,2,,US,42,42,47
3,2,1,1,26,1,2,4,60,1,1,1,Computer Science,US,32,35,33
2,2,2,1,16,2,1,2,60,2,1,1,,US,53,54,56
3,2,2,1,22,1,10,5,10,2,1,3,Biotechnology ,MY,38,24,33
3,1,2,2,20,2,10,5,10,2,1,5,Business,MY,26,26,24
4,3,2,2,29,1,10,5,10,1,2,7,Accounting,MY,43,33,35
3,3,2,1,20,1,10,1,10,2,1,3,Molecular biology ,MY,30,22,28
4,1,2,2,25,1,10,5,70,1,1,4,Accounting ,MY,29,33,28
3,3,2,2,20,1,10,1,10,2,1,4,English Lit,MY,49,44,47
3,1,2,1,19,1,10,2,70,2,1,3,Phychology,MY,49,47,54
3,3,2,1,43,1,3,1,10,1,3,1,Marketing ,MY,41,38,39
2,3,1,1,20,1,1,1,60,2,1,2,,US,40,36,40
3,1,2,2,23,1,10,2,10,2,1,5,Design,MY,38,26,40
3,3,2,2,19,1,10,2,10,1,1,3,International Relation,ID,34,40,45
3,4,2,1,22,1,10,5,10,2,1,2,Business management,MY,41,36,36
2,2,2,2,17,1,10,2,10,2,1,2,,CA,52,51,54
3,2,2,2,22,1,10,1,10,2,1,3,Language,MY,39,37,39
3,2,2,2,18,1,10,1,10,2,1,4,Foundation in science,MY,54,49,51
4,2,2,2,20,0,10,1,10,2,1,4,Statistics,MY,41,40,41
3,3,2,2,18,1,10,5,10,2,3,4,architecture,MY,35,34,35
2,3,2,2,19,2,10,1,10,2,1,3,,NZ,25,24,21
3,3,2,2,21,1,10,2,10,2,1,6,Finance,MY,47,45,46
4,3,1,2,25,1,8,5,10,1,1,2,Marketing ,US,41,31,41
3,3,2,2,20,1,10,5,10,2,1,4,Computer science,MY,19,19,22
3,2,2,1,19,1,10,1,10,2,1,4,electical engineering,MY,21,22,25
3,1,2,2,16,1,10,5,70,2,1,2,Psychology,MY,18,28,35
2,2,2,2,18,1,4,1,70,2,1,4,,US,23,19,17
3,2,2,1,22,1,10,1,10,1,1,4,Sports Science ,MY,40,39,35
2,3,1,1,21,1,6,5,30,2,1,0,,US,40,37,44
3,3,2,2,18,1,10,5,10,2,1,5,Business,MY,48,54,54
2,3,2,1,19,1,7,1,30,2,1,2,,US,22,22,18
4,3,1,2,23,1,8,1,10,2,1,2,Computer Science,IN,34,36,42
3,1,2,2,25,1,10,1,10,1,1,5,No,MY,34,28,30
4,2,1,1,26,1,4,1,60,0,1,2,biology,US,35,36,40
4,3,2,1,36,1,4,1,10,2,2,3,Education,IN,26,29,30
2,2,2,2,15,1,4,2,70,2,1,2,,US,36,35,37
2,2,2,1,16,1,1,2,60,2,1,2,,GB,30,34,34
3,2,2,2,18,1,10,1,10,2,1,3,accounting,ID,26,28,27
3,1,2,2,23,1,10,1,10,1,1,6,Science Education,MY,20,20,21
3,2,2,2,29,1,10,1,10,2,2,6,Medical lab,MY,19,17,16
1,2,2,2,15,1,2,3,60,2,1,2,,US,36,32,35
3,3,2,2,23,1,10,1,10,2,1,3,English,MY,32,35,39
2,3,2,2,18,1,10,1,10,2,1,6,,MY,42,47,46
3,3,2,2,21,1,10,1,10,2,1,7,Biology ,MY,26,22,21
3,2,1,2,42,1,10,5,10,1,1,10,engineering,MY,17,16,17
3,3,2,2,22,1,4,2,10,2,1,5,Business,MY,40,35,39
2,2,2,1,17,1,7,1,60,2,1,2,,US,32,28,36
3,1,2,1,45,2,4,1,60,1,2,2,Education,US,34,28,26
3,3,2,2,20,1,10,3,70,2,1,6,Finance,MY,46,48,41
2,3,2,1,17,1,4,1,70,2,1,3,,IN,29,29,35
3,1,2,2,22,1,4,2,10,1,1,3,Pharmacy,PH,39,41,42
3,1,2,2,21,1,10,1,10,2,1,8,Law,MY,24,21,24
1,3,2,1,15,1,2,4,60,2,1,3,,US,45,41,44
1,3,2,1,13,1,7,1,70,2,1,2,,US,31,37,36
3,2,2,2,22,1,10,1,10,2,1,4,Communication ,MY,36,36,41
4,3,1,2,22,1,10,1,10,2,1,4,Chemical Lab Technology ,BN,25,20,26
1,2,2,1,14,1,12,5,60,2,1,2,,US,39,32,32
3,3,1,2,20,1,10,2,10,2,1,5,Mechanical engineering ,MY,33,28,37
3,3,2,2,19,1,10,5,10,2,1,6,English,MY,48,50,55
3,2,2,1,29,1,1,1,60,2,2,1,Psychology,US,27,27,32
2,3,2,2,20,1,1,1,60,1,1,1,,BR,29,23,27
3,2,2,1,18,1,11,1,10,2,1,2,biology,US,33,34,33
3,3,1,2,20,1,10,1,70,2,1,5,Computer science,MY,29,25,36
2,3,2,1,40,1,7,1,60,1,2,2,,US,19,21,18
3,3,2,2,21,2,10,1,10,2,1,4,Electronic Engineering,MY,42,45,48
3,3,2,2,20,1,10,1,10,2,1,4,Mechanical Engineering,MY,30,25,25
3,2,2,1,24,2,10,4,10,1,1,10,Landscape Architecture ,MY,42,38,39
2,2,1,1,16,1,0,1,60,2,1,3,,US,43,37,51
4,3,2,2,30,1,11,2,10,1,2,8,Science,MY,27,24,26
3,1,2,1,25,1,6,1,60,1,2,3,English,US,21,22,22
3,1,2,1,20,1,10,5,10,2,1,6,Business insurance ,MY,28,26,26
3,3,2,2,20,1,10,1,10,2,1,5,Mass Communication,MY,26,21,23
2,2,2,1,18,2,7,1,70,2,1,4,,US,26,25,25
2,3,2,1,17,2,1,3,60,2,1,6,,GB,39,38,40
3,3,1,1,23,1,10,1,10,2,1,4,Engineering,MY,45,47,48
3,2,1,1,29,1,1,1,60,1,1,4,Political Science,US,31,37,39
3,1,2,2,21,1,10,2,10,2,1,4,nursing,MY,36,38,42
3,2,1,2,39,1,10,1,10,2,2,0,Broadcasting,MY,21,17,21
2,2,2,2,17,1,10,1,10,2,1,5,,MY,45,40,35
3,1,2,2,21,1,10,1,10,2,1,10,Civil engineering,NONE,26,21,22
2,3,2,1,19,1,2,5,60,2,1,4,,GB,46,46,48
3,2,2,2,22,1,10,1,10,2,1,3,Accountancy,MY,45,37,33
1,3,3,1,14,1,2,2,60,2,1,2,,US,37,43,38
3,1,2,2,21,1,8,1,70,2,1,2,Design ,IN,15,14,18
3,1,2,2,20,1,1,1,10,1,1,1,Business,PH,40,45,38
4,2,2,2,23,1,2,1,70,2,1,4,History,MY,18,17,18
3,1,2,2,24,1,10,5,70,1,2,6,Education,MY,27,28,27
3,1,2,2,21,1,10,5,10,2,1,7,Nursing,MY,17,16,14
3,2,2,1,22,1,10,5,70,2,1,3,logistics,MY,15,16,16
3,2,1,2,20,1,10,1,10,0,1,5,Mechanical engineering ,MY,46,40,46
3,3,1,2,19,1,10,1,10,2,1,2,Computer science,MY,24,24,26
3,3,2,2,20,1,10,1,10,2,1,8,English,MY,43,46,46
4,2,2,2,23,1,10,1,10,2,1,6,ECONOMIC,MY,32,35,32
1,2,2,2,14,1,1,2,60,2,1,3,,RS,41,31,40
3,3,2,2,21,1,10,1,10,2,1,3,Computer science,MY,33,30,29
2,2,1,1,20,2,7,2,60,2,1,4,,US,27,29,28
3,2,2,1,20,1,2,2,60,1,1,3,Nursing,US,24,25,25
4,2,2,2,25,1,10,1,10,2,1,4,social science,MY,20,16,21
4,2,2,2,26,1,10,1,10,1,1,2,HR,MY,18,17,17
1,3,2,1,16,1,7,1,60,2,1,2,,US,33,27,32
3,3,2,2,22,1,10,1,10,1,1,3,Law,ID,23,21,29
3,1,2,2,25,1,4,1,10,1,1,4,Education,MY,39,38,37
3,2,2,2,17,1,10,5,10,2,1,4,accounting,MY,48,36,45
3,2,2,2,18,1,10,1,10,2,1,3,English ,MY,48,41,48
2,2,2,1,34,1,2,2,60,1,3,4,,AU,43,40,45
2,2,2,2,17,1,7,1,10,2,1,1,,US,30,27,28
2,3,2,2,17,1,4,1,10,2,1,3,,PH,47,45,47
3,3,1,2,24,1,10,1,10,1,1,3,Law,MY,56,56,56
2,3,2,2,23,1,10,3,10,2,1,6,,MY,40,34,39
3,3,2,2,24,1,10,5,10,1,1,4,Art and design ,MY,44,45,43
3,2,2,2,22,1,10,1,10,1,1,6,Dentistry,MY,32,32,30
3,3,2,1,21,1,10,1,60,2,1,2,business,US,50,38,45
4,1,1,2,26,1,10,1,10,1,1,2,Civil engineering,MY,39,40,41
3,3,2,2,18,1,10,1,10,2,1,7,Medicine,MY,30,36,35
